"okresVysledkyId","okresId","stranaId","hlasy","hlasyPct"
1100,29,8,44,0.19
1101,29,9,1568,6.76
1102,29,10,77,0.33
1103,29,11,39,0.17
1104,29,12,286,1.23
1105,29,13,72,0.31
1106,29,14,22,0.09
1107,29,15,16,0.07
1108,29,16,217,0.94
1109,29,17,47,0.20
1110,29,18,10,0.04
1111,29,19,184,0.79
1112,29,21,7,0.03
1113,29,22,32,0.14
1114,29,23,22,0.09
1115,29,24,518,2.23
1116,29,25,112,0.48
1117,29,26,2550,10.99
1118,29,27,2941,12.68
1119,29,28,2532,10.91
1120,29,29,28,0.12
1121,29,30,5962,25.70
1122,29,31,37,0.16
1123,29,32,15,0.06
1124,29,33,6,0.03
1125,29,34,184,0.79
