"obecVysledkyId","obecId","nuts5","stranaId","hlasy","hlasyPct"
608,19,"538361",22,9,0.72
609,19,"538361",23,1,0.08
610,19,"538361",24,57,4.56
611,19,"538361",25,11,0.88
612,19,"538361",26,280,22.42
613,19,"538361",27,244,19.54
614,19,"538361",28,45,3.60
615,19,"538361",30,126,10.09
616,19,"538361",31,1,0.08
617,19,"538361",32,1,0.08
618,19,"538361",34,4,0.32
619,19,"538361",35,1,0.08
620,19,"538361",36,4,0.32
621,19,"538361",37,19,1.52
622,19,"538361",39,70,5.60
623,19,"538361",40,10,0.80
624,20,"538388",5,16,14.81
625,20,"538388",7,10,9.26
626,20,"538388",9,5,4.63
627,20,"538388",10,1,0.93
628,20,"538388",17,1,0.93
629,20,"538388",19,1,0.93
630,20,"538388",24,2,1.85
631,20,"538388",25,1,0.93
632,20,"538388",26,17,15.74
633,20,"538388",27,18,16.67
634,20,"538388",28,6,5.56
635,20,"538388",30,25,23.15
636,20,"538388",34,1,0.93
637,20,"538388",39,3,2.78
638,20,"538388",40,1,0.93
639,21,"538400",2,1,0.25
640,21,"538400",3,2,0.49
641,21,"538400",4,1,0.25
642,21,"538400",5,120,29.41
643,21,"538400",6,5,1.23
644,21,"538400",7,6,1.47
645,21,"538400",8,1,0.25
646,21,"538400",9,3,0.74
647,21,"538400",12,1,0.25
648,21,"538400",16,2,0.49
649,21,"538400",24,16,3.92
650,21,"538400",25,3,0.74
651,21,"538400",26,94,23.04
652,21,"538400",27,67,16.42
653,21,"538400",28,14,3.43
654,21,"538400",30,47,11.52
655,21,"538400",34,1,0.25
656,21,"538400",36,2,0.49
657,21,"538400",37,4,0.98
658,21,"538400",39,13,3.19
659,21,"538400",40,5,1.23
660,22,"538531",5,20,24.10
661,22,"538531",6,2,2.41
662,22,"538531",7,5,6.02
663,22,"538531",9,4,4.82
664,22,"538531",12,1,1.20
665,22,"538531",13,1,1.20
666,22,"538531",24,6,7.23
667,22,"538531",26,11,13.25
668,22,"538531",27,10,12.05
669,22,"538531",28,5,6.02
670,22,"538531",30,11,13.25
671,22,"538531",31,1,1.20
672,22,"538531",37,2,2.41
673,22,"538531",39,3,3.61
674,22,"538531",40,1,1.20
675,23,"538736",2,3,0.42
676,23,"538736",3,5,0.71
677,23,"538736",4,1,0.14
678,23,"538736",5,177,25.00
679,23,"538736",6,5,0.71
680,23,"538736",7,26,3.67
681,23,"538736",9,20,2.82
682,23,"538736",11,2,0.28
683,23,"538736",12,3,0.42
684,23,"538736",13,1,0.14
685,23,"538736",15,1,0.14
686,23,"538736",16,5,0.71
687,23,"538736",19,3,0.42
688,23,"538736",24,22,3.11
689,23,"538736",25,8,1.13
690,23,"538736",26,160,22.60
691,23,"538736",27,105,14.83
692,23,"538736",28,35,4.94
693,23,"538736",29,1,0.14
694,23,"538736",30,80,11.30
695,23,"538736",31,1,0.14
696,23,"538736",33,1,0.14
697,23,"538736",35,2,0.28
698,23,"538736",36,2,0.28
699,23,"538736",37,2,0.28
700,23,"538736",39,37,5.23
701,24,"538931",1,4,0.14
702,24,"538931",2,9,0.31
703,24,"538931",3,6,0.21
704,24,"538931",4,1,0.03
705,24,"538931",5,659,22.71
706,24,"538931",6,28,0.96
707,24,"538931",7,75,2.58
708,24,"538931",9,78,2.69
709,24,"538931",10,3,0.10
710,24,"538931",11,3,0.10
711,24,"538931",12,7,0.24
712,24,"538931",13,2,0.07
713,24,"538931",16,20,0.69
714,24,"538931",19,11,0.38
715,24,"538931",21,2,0.07
716,24,"538931",23,2,0.07
717,24,"538931",24,118,4.07
718,24,"538931",25,44,1.52
719,24,"538931",26,579,19.95
720,24,"538931",27,528,18.19
721,24,"538931",28,140,4.82
722,24,"538931",29,2,0.07
723,24,"538931",30,401,13.82
724,24,"538931",31,2,0.07
725,24,"538931",34,16,0.55
726,24,"538931",36,9,0.31
727,24,"538931",37,32,1.10
728,24,"538931",39,111,3.82
729,24,"538931",40,10,0.34
730,25,"538949",1,4,0.14
731,25,"538949",2,6,0.20
732,25,"538949",3,5,0.17
733,25,"538949",4,7,0.24
734,25,"538949",5,778,26.47
735,25,"538949",6,21,0.71
736,25,"538949",7,59,2.01
737,25,"538949",9,93,3.16
738,25,"538949",10,3,0.10
739,25,"538949",11,1,0.03
740,25,"538949",12,17,0.58
741,25,"538949",13,4,0.14
742,25,"538949",14,3,0.10
743,25,"538949",15,2,0.07
744,25,"538949",16,14,0.48
745,25,"538949",17,3,0.10
746,25,"538949",18,1,0.03
747,25,"538949",19,1,0.03
748,25,"538949",22,4,0.14
749,25,"538949",23,7,0.24
750,25,"538949",24,97,3.30
751,25,"538949",25,24,0.82
752,25,"538949",26,533,18.14
753,25,"538949",27,508,17.28
754,25,"538949",28,154,5.24
755,25,"538949",29,2,0.07
756,25,"538949",30,391,13.30
757,25,"538949",31,2,0.07
758,25,"538949",32,1,0.03
759,25,"538949",33,1,0.03
760,25,"538949",34,9,0.31
761,25,"538949",35,2,0.07
762,25,"538949",36,25,0.85
763,25,"538949",37,20,0.68
764,25,"538949",39,101,3.44
765,25,"538949",40,36,1.22
766,26,"539007",1,3,0.28
767,26,"539007",2,1,0.09
768,26,"539007",3,5,0.46
769,26,"539007",4,1,0.09
770,26,"539007",5,220,20.28
771,26,"539007",6,11,1.01
772,26,"539007",7,18,1.66
773,26,"539007",9,25,2.30
774,26,"539007",11,1,0.09
775,26,"539007",12,2,0.18
776,26,"539007",13,1,0.09
777,26,"539007",16,9,0.83
778,26,"539007",19,1,0.09
779,26,"539007",23,1,0.09
780,26,"539007",24,38,3.50
781,26,"539007",25,4,0.37
782,26,"539007",26,220,20.28
783,26,"539007",27,160,14.75
784,26,"539007",28,67,6.18
785,26,"539007",30,155,14.29
786,26,"539007",31,1,0.09
787,26,"539007",34,2,0.18
788,26,"539007",35,2,0.18
789,26,"539007",36,3,0.28
790,26,"539007",37,18,1.66
791,26,"539007",39,111,10.23
792,26,"539007",40,5,0.46
793,27,"539449",1,1,0.12
794,27,"539449",2,4,0.48
795,27,"539449",4,2,0.24
796,27,"539449",5,227,27.15
797,27,"539449",6,6,0.72
798,27,"539449",7,11,1.32
799,27,"539449",9,21,2.51
800,27,"539449",10,1,0.12
801,27,"539449",11,2,0.24
802,27,"539449",12,3,0.36
803,27,"539449",13,2,0.24
804,27,"539449",16,5,0.60
805,27,"539449",19,1,0.12
806,27,"539449",23,2,0.24
807,27,"539449",24,45,5.38
808,27,"539449",25,8,0.96
809,27,"539449",26,182,21.77
810,27,"539449",27,109,13.04
811,27,"539449",28,49,5.86
812,27,"539449",29,1,0.12
813,27,"539449",30,112,13.40
814,27,"539449",31,1,0.12
815,27,"539449",34,3,0.36
816,27,"539449",36,3,0.36
817,27,"539449",37,7,0.84
818,27,"539449",39,19,2.27
819,27,"539449",40,9,1.08
820,28,"539465",3,1,0.41
821,28,"539465",5,55,22.73
822,28,"539465",6,8,3.31
823,28,"539465",7,4,1.65
824,28,"539465",9,13,5.37
825,28,"539465",10,1,0.41
826,28,"539465",12,1,0.41
827,28,"539465",15,1,0.41
828,28,"539465",16,6,2.48
829,28,"539465",17,1,0.41
830,28,"539465",22,1,0.41
831,28,"539465",24,8,3.31
832,28,"539465",25,3,1.24
833,28,"539465",26,42,17.36
834,28,"539465",27,27,11.16
835,28,"539465",28,9,3.72
836,28,"539465",30,41,16.94
837,28,"539465",34,2,0.83
838,28,"539465",35,1,0.41
839,28,"539465",37,3,1.24
840,28,"539465",39,11,4.55
841,28,"539465",40,3,1.24
842,29,"539589",3,2,1.04
843,29,"539589",5,39,20.31
844,29,"539589",6,2,1.04
845,29,"539589",7,5,2.60
846,29,"539589",9,3,1.56
847,29,"539589",11,1,0.52
848,29,"539589",12,1,0.52
849,29,"539589",19,1,0.52
850,29,"539589",22,1,0.52
851,29,"539589",24,9,4.69
852,29,"539589",25,3,1.56
853,29,"539589",26,25,13.02
854,29,"539589",27,47,24.48
855,29,"539589",28,7,3.65
856,29,"539589",30,31,16.15
857,29,"539589",34,3,1.56
858,29,"539589",35,1,0.52
859,29,"539589",36,3,1.56
